accuracy,precision,recall,f1
0.43727598566308246,0.28012458633443643,0.20979032248067783,0.16111651575245078
0.5913978494623656,0.4214086535515107,0.4082953264606637,0.380918344118968
0.6129032258064516,0.5962788961738541,0.46223139321398926,0.4532198078286914
0.6415770609318996,0.5979192176762674,0.5087859928324032,0.5314277095013471
0.6236559139784946,0.6057106026187137,0.5371016482510319,0.5403775964777028
0.6415770609318996,0.5939384324355047,0.5514870332310506,0.5591312336951418
0.6362007168458781,0.5830484971052728,0.5593239066951903,0.56100384447618
0.6326164874551972,0.6123185187638122,0.5383471515995083,0.547296720354854
0.6326164874551972,0.5952068343859241,0.5545149214656104,0.5615726808417666
0.6505376344086021,0.6146845654091796,0.5624305132463219,0.5708488679476295
0.6703703703703704,0.5887065037803584,0.5646295297163251,0.5741445920113996
0.6703703703703704,0.5887065037803584,0.5646295297163251,0.5741445920113996
